"from","to","n"
"Porcar y Tió, Manuel","Revista Literaria. Publicación Mensual",1
"Porras, José Ángel","Revista Literaria. Publicación Mensual",3
"Posada Arango, Andrés","Alpha",2
"Posada Arango, Andrés","El Montañés",1
"Posada Hernández, Antonio","El Repertorio. Revista Mensual Ilustrada",2
"Posada Hernández, Antonio","La Bohemia Alegre",3
"Posada, Adolfo","Cultura",2
"Posada, Eduardo","Revista Contemporánea",6
"Posada, Eduardo","Revista Literaria. Publicación Mensual",2
"Posada, Eduardo","Revista Moderna. (Enciclopedia colombiana)",1
"Posada, Eduardo","Trofeos",3
"Posada, Guillermo","La Gruta",1
"Posada, Guillermo","Lectura Amena",1
"Posada, Guillermo","Lectura y Arte",1
"Posada, Guillermo","Trofeos",4
"Prevost, Marcel","Cultura",1
"Prudhomme, Sully","Revista Contemporánea",1
"Prudhomme, Sully","Revista Literaria. Publicación Mensual",2
"Prudhomme, Sully","Revista Moderna. (Enciclopedia colombiana)",1
"Prudhomme, Sully","Trofeos",4
"Prutz, Robert","El Repertorio. Revista Mensual Ilustrada",1
"Préndez Murúa, Pedro Nolasco","Revista Literaria. Publicación Mensual",1
"Puga de Losada, Amalia","Revista Literaria. Publicación Mensual",1
"Pujol Martínez, Juan ","Revista Moderna. (Enciclopedia colombiana)",1
"Páez M., Julián","Revista Literaria. Publicación Mensual",1
"Pérez Monsalva, Santiago","Revista Contemporánea",2
"Pérez Nieva, Alfonso","Revista Literaria. Publicación Mensual",1
"Pérez Triana, Santiago","Alpha",2
"Pérez Triana, Santiago","El Montañés",1
"Pérez Triana, Santiago","Lectura y Arte",1
"Pérez Triana, Santiago","Revista Contemporánea",3
"Pérez Triana, Santiago","Revista Moderna. (Enciclopedia colombiana)",2
"Pérez Zúñiga, Juan","Lectura Amena",1
"Pérez Zúñiga, Juan","Lectura y Arte",1
"Pérez de Guzmán y Gallo, Juan","Revista Literaria. Publicación Mensual",2
"Pérez, A. J.","Revista Moderna. (Enciclopedia colombiana)",1
"Pérez, Enrique","Cultura",1
"Pérez, Felipe","Revista Literaria. Publicación Mensual",1
"Pérez, Gregorio","El Montañés",1
"Pérez, Rafael","El Montañés",1
"Pí y Margall, Francisco","Revista Literaria. Publicación Mensual",1
"Quevedo Álvarez, Tomás","La Bohemia Alegre",5
"Quevedo, Francisco de ","Revista Literaria. Publicación Mensual",1
"Quijano Torres, Antonio","La Gruta",1
"Quijano, Arturo","Cultura",1
"Quijano, Arturo","La Gruta",5
"Quijano, Arturo","Revista Moderna. (Enciclopedia colombiana)",1
"Quijano, Arturo A.","La Gruta",1
"RR.LL","Alpha",1
"Rabot, Charles","Revista Moderna. (Enciclopedia colombiana)",1
"Rachilde","Alpha",1
"Ramos Ruiz, Gonzalo","Revista Literaria. Publicación Mensual",1
"Ramos Urdaneta, Alfredo","Revista Moderna. (Enciclopedia colombiana)",6
"Ramos, José Luis","Alpha",1
"Ramírez G., Enrique","Lectura y Arte",2
"Ramírez, Clodomiro","Alpha",1
"Ramírez, Clodomiro","Cultura",1
"Rasch Isla, Miguel","Cultura",4
"Rasch Isla, Miguel","Revista Moderna. (Enciclopedia colombiana)",1
"Remouchamps, Victor","Panida",1
"Rendón, Francisco de Paula","Alpha",2
"Rendón, Francisco de Paula","Lectura y Arte",1
"Rendón, Ricardo","Cultura",1
"Rendón, Ricardo","Panida",19
"Restrepo Briceño, Fernando","Alpha",1
"Restrepo E., José Vicente ","El Montañés",1
"Restrepo Euse, Álvaro","Alpha",3
"Restrepo Gómez, Francisco","La Gruta",1
"Restrepo Gómez, Francisco","Revista Moderna. (Enciclopedia colombiana)",2
"Restrepo Jaramillo, José Luis ","Panida",1
"Restrepo Maya, José María","Revista Literaria. Publicación Mensual",3
"Restrepo Olarte, Jesús","Panida",5
"Restrepo Restrepo, Antonio María","Alpha",4
"Restrepo Restrepo, Antonio María","El Repertorio. Revista Mensual Ilustrada",3
"Restrepo Restrepo, Antonio María","La Bohemia Alegre",6
"Restrepo Restrepo, Antonio María","Lectura Amena",18
"Restrepo Restrepo, Antonio María","Lectura y Arte",1
"Restrepo Restrepo, Antonio María","Panida",2
"Restrepo Restrepo, Carlos Eugenio","Alpha",4
"Restrepo Restrepo, Carlos Eugenio","Cultura",2
"Restrepo Restrepo, Carlos Eugenio","El Montañés",3
"Restrepo Restrepo, Carlos Eugenio","El Repertorio. Revista Mensual Ilustrada",2
"Restrepo Restrepo, Carlos Eugenio","La Bohemia Alegre",1
"Restrepo Restrepo, Carlos Eugenio","Lectura y Arte",3
"Restrepo Rivera, J.","Alpha",2
"Restrepo Rivera, Jesús","Panida",3
"Restrepo Rivera, José","Cultura",6
"Restrepo Sáenz, José María","Revista Moderna. (Enciclopedia colombiana)",1
"Restrepo Tirado, Ernesto","Revista Literaria. Publicación Mensual",15
"Restrepo Tirado, Ernesto","Revista Moderna. (Enciclopedia colombiana)",4
"Restrepo Vélez, José Manuel","Revista Literaria. Publicación Mensual",2
"Restrepo, Antonio José","Alpha",4
"Restrepo, José Manuel","Revista Literaria. Publicación Mensual",9
"Restrepo, José Manuel","Revista Moderna. (Enciclopedia colombiana)",1
"Restrepo, José María","El Montañés",2
"Restrepo, Juan de Dios","El Repertorio. Revista Mensual Ilustrada",2
"Restrepo, Lisandro","El Repertorio. Revista Mensual Ilustrada",1
"Restrepo, Lisandro","La Bohemia Alegre",1
"Restrepo, Lucio A.","El Montañés",5
"Restrepo, Paulo Emilio","El Montañés",1
"Restrepo, Paulo Emilio","El Repertorio. Revista Mensual Ilustrada",2
"Restrepo, Saturnino","Alpha",33
"Restrepo, Saturnino","El Montañés",6
"Restrepo, Saturnino","El Repertorio. Revista Mensual Ilustrada",3
"Restrepo, Saturnino","La Bohemia Alegre",9
"Restrepo, Saturnino","Lectura Amena",2
"Restrepo, Saturnino","Lectura y Arte",4
"Restrepo, Saturnino","Revista Contemporánea",1
"Restrepo, Saturnino","Trofeos",1
"Restrepo, Vicente","Revista Literaria. Publicación Mensual",17
"Retté, Adolphe","Trofeos",1
"Riche, Iván","Lectura Amena",1
"Rios de Lamperez, Blanca de los","Lectura Amena",1
"Rivas Frade, Federico","La Gruta",8
"Rivas Frade, Federico","Revista Literaria. Publicación Mensual",2
"Rivas Groot, Evaristo","Revista Moderna. (Enciclopedia colombiana)",1
"Rivas Groot, José María","Revista Literaria. Publicación Mensual",3
"Rivas Groot, José María","Revista Moderna. (Enciclopedia colombiana)",1
"Rivas, Medardo","Revista Literaria. Publicación Mensual",4
"Rivas, Raimundo","Cultura",22
"Rivera y Garrido, Luciano","Revista Literaria. Publicación Mensual",4
"Rivera, José Eustasio","Cultura",2
"Robledo J., Alfonso","Lectura Amena",1
"Robledo Villa, Alonso","Lectura y Arte",1
"Robledo, Emilio","El Montañés",3
"Robledo, Eusebio","Alpha",1
"Robledo, Eusebio","El Repertorio. Revista Mensual Ilustrada",4
"Robledo, Eusebio","Lectura Amena",3
"Robledo, Eusebio","Lectura y Arte",2
"Robledo, Eusebio","Revista Moderna. (Enciclopedia colombiana)",1
"Robledo, Jorge Samuel ","Lectura Amena",2
"Rocha, Joaquín","Revista Literaria. Publicación Mensual",1
"Rochefort, Henri","Lectura Amena",2
"Rodríguez G., Sixto","Revista Literaria. Publicación Mensual",1
"Rodríguez Moya, Francisco","Alpha",1
"Rodríguez Moya, Francisco","Lectura Amena",4
"Rodríguez O., Eugenio","Revista Contemporánea",2
"Rodríguez Rendueles, M.","Panida",1
"Rodríguez Zapata, Francisco","Revista Literaria. Publicación Mensual",1
"Rodríguez, Alfredo J.","El Montañés",1
"Rodríguez, Horacio Marino","El Montañés",28
"Rodríguez, Horacio Marino","El Repertorio. Revista Mensual Ilustrada",95
"Rodríguez, Melitón","El Montañés",4
"Rodríguez, Melitón","Lectura y Arte",1
"Rodó, José Enrique","Panida",1
"Rodó, José Enrique","Revista Moderna. (Enciclopedia colombiana)",1
"Rojas, Julio A.","Revista Contemporánea",1
"Rollinat, Maurice ","Alpha",1
"Romero A., Ángel María","Revista Literaria. Publicación Mensual",3
"Romero P., Carlos","Revista Literaria. Publicación Mensual",1
"Rosa, Leopoldo de la ","Trofeos",1
"Rosales, Carlos N.","Cultura",1
"Rosales, Carlos N.","Revista Moderna. (Enciclopedia colombiana)",1
"Rosas, Gabriel","Revista Literaria. Publicación Mensual",1
"Rossel, Juan C.","Revista Literaria. Publicación Mensual",1
"Roure, José de","Lectura Amena",1
"Roux, Hugo Le","Revista Moderna. (Enciclopedia colombiana)",1
"Rozo Martínez, Darío","La Gruta",1
"Rubió y Ors, Joaquín","Revista Literaria. Publicación Mensual",1
"Rueda Vargas, Tomás","Cultura",4
"Rueda, Salvador","El Repertorio. Revista Mensual Ilustrada",1
"Rueda, Salvador","Lectura y Arte",1
"Rusiñol, Santiago","Lectura Amena",1
"Rusiñol, Santiago","Panida",1
"Ruíz, Dael","Revista Moderna. (Enciclopedia colombiana)",12
"Régnier, Henri de","Trofeos",1
"Rémy, François","La Gruta",4
"Saavedra Galindo, José Manuel","La Gruta",1
"Saavedra Molina, Julio","Revista Moderna. (Enciclopedia colombiana)",1
"Saavedra, Ángel de","El Repertorio. Revista Mensual Ilustrada",1
"Sacher-Masoch, Leopold von","Revista Literaria. Publicación Mensual",1
"Sacher-Masoch, Leopold von ","Revista Literaria. Publicación Mensual",1
"Saco, Eduardo","Revista Literaria. Publicación Mensual",1
"Saco, José Antonio","Revista Moderna. (Enciclopedia colombiana)",1
"Saint-Victor, Paul de","El Repertorio. Revista Mensual Ilustrada",1
"Saint-Victor, Paul de","Revista Moderna. (Enciclopedia colombiana)",1
"Salamanca Torres, Demetrio","Revista Moderna. (Enciclopedia colombiana)",1
"Salazar H. Jerónimo","El Montañés",1
"Salazar Álvarez, José María","Lectura y Arte",1
"Salduba","Lectura Amena",1
"Samper de Ancízar, Agripina","Revista Literaria. Publicación Mensual",1
"Samper, Emilio","Revista Contemporánea",2
"Samper, José María ","Revista Literaria. Publicación Mensual",1
"Samper, Miguel","Revista Moderna. (Enciclopedia colombiana)",1
"Sanchéz de Iriarte, Alberto","Cultura",1
"Sant Pinxit","Revista Moderna. (Enciclopedia colombiana)",1
"Santa María Vermersch, R.","Trofeos",1
"Santa María, Andrés de","Lectura y Arte",1
"Santamaría, Nepomuceno","Revista Contemporánea",1
"Santos, Eduardo","Cultura",2
"Santos, Gustavo","Cultura",12
"Sanín Cano, Baldomero","Alpha",1
"Sanín Cano, Baldomero","La Gruta",3
"Sanín Cano, Baldomero","Lectura y Arte",1
"Sanín Cano, Baldomero","Revista Contemporánea",32
"Sanín Cano, Baldomero","Revista Literaria. Publicación Mensual",3
"Sanín Cano, Baldomero","Trofeos",6
"Saravia, Hermógenes","Revista Literaria. Publicación Mensual",1
"Savage, Richard Henry","Revista Moderna. (Enciclopedia colombiana)",6
"Saíz, José María","Revista Moderna. (Enciclopedia colombiana)",1
"Sbarbi y Osuna, José María","El Repertorio. Revista Mensual Ilustrada",1
"Scarpetta, Oswaldo","La Gruta",1
"Schafi, Mirza","Revista Contemporánea",1
"Schiller, Friedrich","Alpha",1
"Schopenhauer, Arthur","Lectura y Arte",1
"Schopenhauer, Arthur","Panida",1
"Schwob, L.","Revista Moderna. (Enciclopedia colombiana)",1
"Schwob, Marcel","Revista Contemporánea",8
"Scribe, Eugène","Revista Literaria. Publicación Mensual",1
"Segovia, L.","Revista Moderna. (Enciclopedia colombiana)",1
"Serao, Matilde","Revista Moderna. (Enciclopedia colombiana)",2
"Sevilla, Rafael","Revista Moderna. (Enciclopedia colombiana)",1
"Shakespeare, William","El Repertorio. Revista Mensual Ilustrada",1
"Shakespeare, William","Revista Literaria. Publicación Mensual",1
"Sienkiewicz, Henryk","Lectura Amena",1
"Sierra, Justo","Lectura Amena",1
"Siles, José de","Revista Literaria. Publicación Mensual",2
"Silva Cruz, Carlos","Revista Moderna. (Enciclopedia colombiana)",1
"Silva Vidal, Ismael","Revista Moderna. (Enciclopedia colombiana)",1
"Silva, Clímaco","Revista Moderna. (Enciclopedia colombiana)",1
"Silva, José Asunción","Cultura",1
"Silva, José Asunción","Lectura Amena",11
"Silva, José Asunción","Panida",1
"Silva, José Asunción","Revista Literaria. Publicación Mensual",2
"Silva, José Asunción","Revista Moderna. (Enciclopedia colombiana)",1
"Silvela, Francisco","Revista Literaria. Publicación Mensual",1
"Silvestre, Armand","Lectura y Arte",1
"Silvestre, Armand","Panida",1
"Sinués de Marco, María del Pilar","Revista Literaria. Publicación Mensual",1
"Solano Patiño, José","Alpha",1
"Solano Patiño, José","Lectura Amena",2
"Solano Patiño, José","Lectura y Arte",1
"Solano, Armando","Cultura",1
"Soriano y Barroeta-Aldamar, Rodrigo","Revista Literaria. Publicación Mensual",2
"Soto Borda, Clímaco","Alpha",2
"Soto Borda, Clímaco","La Gruta",2
"Soto Borda, Clímaco","Lectura Amena",3
"Soto Borda, Clímaco","Lectura y Arte",2
"Soto Borda, Clímaco","Revista Moderna. (Enciclopedia colombiana)",1
"Soto, Aquilino","Alpha",1
"Sousa, Lope de","El Repertorio. Revista Mensual Ilustrada",1
"Stecchetti, Lorenzo","Lectura Amena",1
"Suarès, André ","Panida",1
"Suárez, Roberto","Revista Literaria. Publicación Mensual",2
"Sánchez, Alberto","Alpha",4
"Sánchez, Alberto","Cultura",5
"Sánchez, Alberto","La Gruta",5
"Sánchez, Alberto","Revista Contemporánea",5
"Sánchez, Alberto","Revista Moderna. (Enciclopedia colombiana)",1
"Sánchez, Alberto","Trofeos",4
"Ségur, Eugène de","El Repertorio. Revista Mensual Ilustrada",1
"Tablada, José Juan","Lectura Amena",2
"Taboada, Luis","Revista Literaria. Publicación Mensual",3
"Tagore, Rabindranath","Cultura",8
"Talero Núñez, Eduardo","Lectura Amena",1
"Talleyrand, Charles Maurice de ","Revista Literaria. Publicación Mensual",1
"Tamayo, Carlos","La Gruta",1
"Taunay, Vizconde de","Lectura Amena",1
"Taunay, Vizconde de ","Revista Contemporánea",1
"Tavera C., Rafael","Cultura",1
"Tejada Córdoba, Benjamín","Lectura Amena",10
"Tejada Córdoba, Benjamín","Lectura y Arte",1
"Tejada, Temístocles","Revista Literaria. Publicación Mensual",1
"Tejera, Felipe","Revista Literaria. Publicación Mensual",1
"Tennyson, Alfred","Lectura y Arte",1
"Terán, Luis María","La Gruta",1
"Teócrito","Cultura",1
"Thein, Max","El Montañés",2
"Tinseau, Léon de","Revista Literaria. Publicación Mensual",1
"Tirado Macías, Ricardo","Revista Contemporánea",1
"Tobar, Alfonso","Revista Literaria. Publicación Mensual",1
"Tobón Mejía, Marco","El Montañés",7
"Tobón Mejía, Marco","Lectura y Arte",50
"Toché, Raoul ","Revista Literaria. Publicación Mensual",1
"Tolstói, Lev Nikoláievich","Lectura Amena",1
"Tolstói, Lev Nikoláievich","Revista Literaria. Publicación Mensual",2
"Torres Durán, Carlos","Cultura",1
"Torres Méndez, Ramón","Cultura",1
"Torres Pinzón, Carlos A.","Cultura",6
"Torres Umaña, Calixto","Cultura",2
"Torres, Carlos Arturo","La Gruta",1
"Torres, Carlos Arturo","Revista Literaria. Publicación Mensual",1
"Torres, Carlos Arturo","Trofeos",2
"Toudouze, Georges-Gustave ","Revista Contemporánea",1
"Trespalacios, Jesús María","La Bohemia Alegre",1
"Triana, Miguel","Alpha",2
"Triana, Miguel","Cultura",1
"Triana, Miguel","El Repertorio. Revista Mensual Ilustrada",2
"Turgenev, Ivan","El Repertorio. Revista Mensual Ilustrada",1
"Turgenev, Ivan","Panida",1
"Twain, Marc ","Lectura y Arte",1
"Ugarte, Manuel","Lectura Amena",2
"Unamuno, Miguel de","Alpha",1
"Unamuno, Miguel de","Lectura Amena",1
"Urdaneta Ramos, Alfredo","Revista Moderna. (Enciclopedia colombiana)",1
"Urdaneta, Alberto","Cultura",1
"Uribe Arango, Marcelino","Cultura",1
"Uribe Gómez, Pedro","Alpha",4
"Uribe Holguín, Guillermo","Revista Contemporánea",1
"Uribe Holguín, Guillermo","Trofeos",1
"Uribe Mejía, Francisco Antonio","Lectura Amena",1
"Uribe Uribe, Rafael","Lectura Amena",1
"Uribe Ángel, Manuel","Alpha",1
"Uribe Ángel, Manuel","El Montañés",2
"Uribe Ángel, Manuel","El Repertorio. Revista Mensual Ilustrada",1
"Uribe Ángel, Manuel","Revista Literaria. Publicación Mensual",10
"Uribe Ángel, Manuel","Revista Moderna. (Enciclopedia colombiana)",1
"Uribe, Basiliso","Alpha",1
"Uribe, Diego","Alpha",1
"Uribe, Diego","La Gruta",2
"Uribe, Diego","Revista Contemporánea",1
"Uribe, Diego","Revista Literaria. Publicación Mensual",1
"Uribe, Diego","Revista Moderna. (Enciclopedia colombiana)",1
"Uribe, Diego","Trofeos",4
"Uribe, Gustavo","Lectura Amena",1
"Uribe, Joaquín Antonio","Alpha",2
"Uribe, Martín","Lectura Amena",1
"Urrecha, Federico","Lectura Amena",1
"Urrutia, Francisco José","Cultura",1
"Urrutia, Francisco José","Revista Moderna. (Enciclopedia colombiana)",2
"Vaca, Vicente","Revista Literaria. Publicación Mensual",2
"Valcarce García, Javier","Alpha",1
"Valderrama, Felipe","Trofeos",10
"Valencia, Francisco","La Gruta",7
"Valencia, Francisco","Lectura Amena",3
"Valencia, Francisco","Revista Contemporánea",6
"Valencia, Francisco","Trofeos",4
"Valencia, Guillermo","Lectura Amena",3
"Valencia, Guillermo","Panida",1
"Valencia, Guillermo","Revista Contemporánea",2
"Valencia, Miguel Santiago","Cultura",4
"Valenzuela, Eduardo","Revista Moderna. (Enciclopedia colombiana)",1
"Valenzuela, Teodoro","Revista Literaria. Publicación Mensual",1
"Valle-Inclán, Ramón del","Lectura Amena",2
"Valle-Inclán, Ramón del","Panida",1
"Vallés, L.","Alpha",1
"Vargas Tamayo, Roberto","La Gruta",3
"Vargas Vila, José María","Lectura Amena",1
"Vargas Vila, José María","Panida",1
"Vargas, Justo","Alpha",1
"Varigny, Charles Victor Crosnier","Revista Literaria. Publicación Mensual",1
"Vasco, Eduardo","Panida",7
"Vega, Alejandro","La Gruta",6
"Velilla Yepes, Samuel","Lectura y Arte",1
"Velásquez Botero, Samuel","El Montañés",6
"Velásquez Botero, Samuel","Lectura y Arte",1
"Velásquez Botero, Samuel","Trofeos",1
"Velásquez García, José","Alpha",5
"Velásquez García, José","El Repertorio. Revista Mensual Ilustrada",6
"Velásquez García, José","La Bohemia Alegre",9
"Velásquez García, José","Lectura Amena",10
"Velásquez García, José","Lectura y Arte",2
"Velásquez García, José","Revista Contemporánea",1
"Velásquez, Edmundo","Alpha",3
"Velásquez, Edmundo","Trofeos",1
"Velázquez, Alejandro","Lectura Amena",1
"Verbrugghe, George","Revista Literaria. Publicación Mensual",2
"Verbrugghe, Louis Emile","Revista Literaria. Publicación Mensual",2
"Vergara y Vergara, José María","Revista Moderna. (Enciclopedia colombiana)",1
"Verhaeren, Émile","Revista Moderna. (Enciclopedia colombiana)",1
"Vermersch, R. Santa María","Trofeos",3
"Vidal Pacheco, Gonzalo","El Repertorio. Revista Mensual Ilustrada",3
"Vidal Pacheco, Gonzalo","La Bohemia Alegre",1
"Vidal, Enrique","Lectura y Arte",3
"Vidal, Gonzalo","El Montañés",3
"Vidal, Gonzalo","Lectura y Arte",2
"Vila, Pablo","Cultura",2
"Vilgio, Leo","Lectura y Arte",1
"Villa Carrasquilla, Jorge","Panida",6
"Villa López, Francisco","Panida",3
"Villa Vélez, Eduardo","Revista Literaria. Publicación Mensual",2
"Villaespesa, Francisco","Panida",2
"Villafañe, Carlos","La Gruta",6
"Villafañe, Carlos","Trofeos",3
"Villamartín, Isabel de","Revista Literaria. Publicación Mensual",1
"Villegas Arango, Alfonso","Lectura Amena",1
"Villegas, Aquilino","Alpha",2
"Villegas, Aquilino","Lectura Amena",2
"Villegas, Aquilino","Lectura y Arte",1
"Villegas, Aquilino","Panida",1
"Villegas, Luis Eduardo","Alpha",3
"Villegas, Luis Eduardo","Lectura Amena",1
"Villegas, Luis Eduardo","Revista Contemporánea",1
"Villegas, Marco A. ","La Gruta",1
"Villiers de L'Isle-Adam, Auguste de","Alpha",2
"Visan, Tancrède de ","Panida",1
"Vives, Luis","Alpha",4
"Vives, Luis","Lectura Amena",1
"Vásquez Barreneche, Alejandro ","Lectura Amena",1
"Vásquez Guarda, Efraím","Revista Literaria. Publicación Mensual",1
"Vásquez, Honorato","Revista Literaria. Publicación Mensual",1
"Vásquez, Juan de Dios","El Montañés",2
"Vásquez, Juan de Dios","El Repertorio. Revista Mensual Ilustrada",1
"Vásquez, Juan de Dios","La Bohemia Alegre",1
"Vásquez, Juan de Dios","Lectura y Arte",1
"Vélez Barrientos, Lucrecio","Alpha",12
"Vélez Barrientos, Lucrecio","El Repertorio. Revista Mensual Ilustrada",1
"Vélez Barrientos, Lucrecio","La Bohemia Alegre",1
"Vélez, Bonifacio","Alpha",1
"Vélez, Bonifacio","El Montañés",2
"Vélez, Bonifacio","Lectura Amena",2
"Vélez, Salvador","Lectura Amena",3
"Vélez, Victoriano","Alpha",3
"Vélez, Victoriano","El Montañés",3
"Vélez, Victoriano","Lectura Amena",2
"Wadsworth Longfellow, Henry","Revista Literaria. Publicación Mensual",2
"Wilde, Oscar","Alpha",1
"Wilde, Oscar","Panida",2
"Wilde, Oscar","Trofeos",3
"Wilson, Woodrow","Cultura",1
"Wolff, Pierre","El Repertorio. Revista Mensual Ilustrada",1
"Wyzewa, Teodor de","Lectura Amena",1
"Wyzewa, Teodor de","Revista Literaria. Publicación Mensual",1
"Xanrof, León","Trofeos",1
"Yepes, Joaquín E.","El Repertorio. Revista Mensual Ilustrada",5
"Yver, Colette","Revista Moderna. (Enciclopedia colombiana)",1
"Z y Z.","Lectura Amena",1
"Zaavedra Zárate, César","La Gruta",2
"Zamacois, Eduardo","Revista Moderna. (Enciclopedia colombiana)",1
"Zapata A., José J.","Lectura Amena",1
"Zapata, Felipe","Revista Moderna. (Enciclopedia colombiana)",1
"Zola, Émile","Lectura Amena",1
"Zola, Émile","Revista Literaria. Publicación Mensual",1
"Zuleta Gaviria, Eduardo","El Montañés",1
"Zuleta Gaviria, Eduardo","El Repertorio. Revista Mensual Ilustrada",1
"Zuleta Gaviria, Eduardo","Lectura y Arte",1
"Zuleta Gaviria, Eduardo","Revista Literaria. Publicación Mensual",1
"Zuleta, Juan A.","Revista Literaria. Publicación Mensual",2
"Zuleta, Luis de","Cultura",3
"Álvarez Bonilla, Enrique","Revista Literaria. Publicación Mensual",1
"Álvarez Lleras, Antonio","Cultura",5
"Álvarez Quintero, Joaquín","Lectura y Arte",1
"Álvarez Quintero, Serafín","Lectura y Arte",1
